Jahr,RaumSort,RaumLang,RechtsformSort,RechtsformLang,asBetriebsgrSort,BetriebsgrLang,Arbeitsstaetten,AnzBesch,AnzBeschW,AnzBeschM,AnzVZAano,AnzVZAWano,AnzVZAMano
2011,1,Ganze Stadt,0,Alle Rechtsformen,0,Alle Betriebsgrössen,39747,443621,202970,240651,339750,136406,203349
2011,1,Ganze Stadt,0,Alle Rechtsformen,1,Mikrounternehmen,34765,97857,50605,47252,68376,31173,37204
2011,1,Ganze Stadt,0,Alle Rechtsformen,2,Kleine Unternehmen,3877,108710,52696,56014,80077,34267,45810
2011,1,Ganze Stadt,0,Alle Rechtsformen,3,Mittlere Unternehmen,934,120308,50220,70088,94902,34657,60248
2011,1,Ganze Stadt,0,Alle Rechtsformen,4,Grosse Unternehmen,171,116746,49449,67297,96395,36309,60087
2011,1,Ganze Stadt,1,Einzelfirmen,0,Alle Betriebsgrössen,18223,32756,17452,15304,22295,10382,11913
2011,1,Ganze Stadt,1,Einzelfirmen,1,Mikrounternehmen,18072,29166,15644,13522,19492,9104,10388
2011,1,Ganze Stadt,1,Einzelfirmen,2,Kleine Unternehmen,148,3340,1756,1584,2562,1230,1331
2011,1,Ganze Stadt,1,Einzelfirmen,3,Mittlere Unternehmen,3,250,52,198,241,48,194
2011,1,Ganze Stadt,2,Personengesellschaften,0,Alle Betriebsgrössen,1368,7265,4356,2909,5135,2830,2304
2011,1,Ganze Stadt,2,Personengesellschaften,1,Mikrounternehmen,1286,4358,2698,1660,3001,1668,1333
2011,1,Ganze Stadt,2,Personengesellschaften,2,Kleine Unternehmen,74,1533,934,599,1171,679,492
2011,1,Ganze Stadt,2,Personengesellschaften,3,Mittlere Unternehmen,8,1374,724,650,963,483,479
2011,1,Ganze Stadt,3,Aktiengesellschaften,0,Alle Betriebsgrössen,10697,231512,91288,140224,189705,65558,124147
2011,1,Ganze Stadt,3,Aktiengesellschaften,1,Mikrounternehmen,7762,34183,16427,17756,25500,10822,14678
2011,1,Ganze Stadt,3,Aktiengesellschaften,2,Kleine Unternehmen,2271,59268,24936,34332,47507,17730,29777
2011,1,Ganze Stadt,3,Aktiengesellschaften,3,Mittlere Unternehmen,554,69115,25281,43834,57954,18665,39289
2011,1,Ganze Stadt,3,Aktiengesellschaften,4,Grosse Unternehmen,110,68946,24644,44302,58744,18341,40403
2011,1,Ganze Stadt,4,GmbH,0,Alle Betriebsgrössen,5334,29029,12912,16117,21192,8069,13125
2011,1,Ganze Stadt,4,GmbH,1,Mikrounternehmen,4978,16360,7492,8868,11747,4618,7130
2011,1,Ganze Stadt,4,GmbH,2,Kleine Unternehmen,327,8248,3855,4393,5576,2255,3322
2011,1,Ganze Stadt,4,GmbH,3,Mittlere Unternehmen,27,3078,1323,1755,2604,973,1631
2011,1,Ganze Stadt,4,GmbH,4,Grosse Unternehmen,2,1343,242,1101,1265,223,1042
2011,1,Ganze Stadt,5,Genossenschaften,0,Alle Betriebsgrössen,431,13113,7058,6055,9606,4756,4850
2011,1,Ganze Stadt,5,Genossenschaften,1,Mikrounternehmen,243,1658,968,690,1030,569,461
2011,1,Ganze Stadt,5,Genossenschaften,2,Kleine Unternehmen,146,4922,2814,2108,3346,1764,1582
2011,1,Ganze Stadt,5,Genossenschaften,3,Mittlere Unternehmen,39,4735,2453,2282,3598,1740,1858
2011,1,Ganze Stadt,5,Genossenschaften,4,Grosse Unternehmen,3,1798,823,975,1632,683,949
2011,1,Ganze Stadt,6,Ausländische Kapitalgesellschaften,0,Alle Betriebsgrössen,329,4199,1696,2503,3809,1436,2374
2011,1,Ganze Stadt,6,Ausländische Kapitalgesellschaften,1,Mikrounternehmen,249,841,342,499,732,274,458
